"MAC Source","MAC Destination","Source","Destination","Protocol","Length","NDP Message"
"02:00:00:00:00:06","33:33:ff:c8:00:00","fe80::ff:fe00:6","ff02::1:ffc8:0","ICMPv6","86","Neighbor Solicitation"
"c4:01:12:c8:00:00","02:00:00:00:00:06","fe80::c601:12ff:fec8:0","fe80::ff:fe00:6","ICMPv6","86","Neighbor Advertisement"
"c4:01:12:c8:00:00","02:00:00:00:00:06","fe80::c601:12ff:fec8:0","fe80::ff:fe00:6","ICMPv6","86","Neighbor Solicitation"
"02:00:00:00:00:06","c4:01:12:c8:00:00","fe80::ff:fe00:6","fe80::c601:12ff:fec8:0","ICMPv6","86","Neighbor Advertisement"
"02:00:00:00:00:05","33:33:ff:c8:00:00","fe80::ff:fe00:5","ff02::1:ffc8:0","ICMPv6","86","Neighbor Solicitation"
"c4:01:12:c8:00:00","02:00:00:00:00:05","fe80::c601:12ff:fec8:0","fe80::ff:fe00:5","ICMPv6","86","Neighbor Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5487:9e71:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54ba:9e71:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54ed:9e71:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5420:9f71:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5453:9f71:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5486:9f71:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54b9:9f71:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54ec:9f71:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:541f:a071:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5452:a071:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5485:a071:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54b8:a071:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54eb:a071:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:541e:a171:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5451:a171:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5484:a171:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54b7:a171:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54ea:a171:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:541d:a271:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5450:a271:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5483:a271:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54b6:a271:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54e9:a271:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:541c:a371:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:544f:a371:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5482:a371:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54b5:a371:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54e8:a371:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:541b:a471:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:544e:a471:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5481:a471:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54b4:a471:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54e7:a471:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:541a:a571:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:544d:a571:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5480:a571:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54b3:a571:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54e6:a571:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5419:a671:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:544c:a671:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:547f:a671:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54b2:a671:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54e5:a671:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5418:a771:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:544b:a771:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:547e:a771:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54b1:a771:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:54e4:a771:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
"00:00:00:00:00:00","33:33:00:00:00:01","fe80::9e:5417:a871:7101","fe80::ff:fe00:1","ICMPv6","1486","Router Advertisement"
